opcode,address,data
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,384,100
5,384,10
1,384,100
5,384,10
1,384,100
3,384,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
0,1216,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,384,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1216,100
5,1216,10
1,1216,100
5,1216,10
1,1216,100
3,1216,0
1,384,100
5,384,10
1,384,100
5,384,10
1,384,100
3,384,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,704,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
1,704,100
5,704,10
1,704,100
5,704,10
1,704,100
3,704,0
0,192,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1792,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,192,100
5,192,10
1,192,100
5,192,10
1,192,100
3,192,0
1,1792,100
5,1792,10
1,1792,100
5,1792,10
1,1792,100
3,1792,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1792,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
1,1792,100
5,1792,10
1,1792,100
5,1792,10
1,1792,100
3,1792,0
0,1280,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1472,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1280,100
5,1280,10
1,1280,100
5,1280,10
1,1280,100
3,1280,0
1,1472,100
5,1472,10
1,1472,100
5,1472,10
1,1472,100
3,1472,0
0,896,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1280,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,896,100
5,896,10
1,896,100
5,896,10
1,896,100
3,896,0
1,1280,100
5,1280,10
1,1280,100
5,1280,10
1,1280,100
3,1280,0
0,1920,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1600,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1920,100
5,1920,10
1,1920,100
5,1920,10
1,1920,100
3,1920,0
1,1600,100
5,1600,10
1,1600,100
5,1600,10
1,1600,100
3,1600,0
0,1920,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,832,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1920,100
5,1920,10
1,1920,100
5,1920,10
1,1920,100
3,1920,0
1,832,100
5,832,10
1,832,100
5,832,10
1,832,100
3,832,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1984,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
1,1984,100
5,1984,10
1,1984,100
5,1984,10
1,1984,100
3,1984,0
0,1984,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,896,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1984,100
5,1984,10
1,1984,100
5,1984,10
1,1984,100
3,1984,0
1,896,100
5,896,10
1,896,100
5,896,10
1,896,100
3,896,0
0,256,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1920,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,256,100
5,256,10
1,256,100
5,256,10
1,256,100
3,256,0
1,1920,100
5,1920,10
1,1920,100
5,1920,10
1,1920,100
3,1920,0
0,640,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1408,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,640,100
5,640,10
1,640,100
5,640,10
1,640,100
3,640,0
1,1408,100
5,1408,10
1,1408,100
5,1408,10
1,1408,100
3,1408,0
0,1600,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1600,100
5,1600,10
1,1600,100
5,1600,10
1,1600,100
3,1600,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
0,512,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,896,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,512,100
5,512,10
1,512,100
5,512,10
1,512,100
3,512,0
1,896,100
5,896,10
1,896,100
5,896,10
1,896,100
3,896,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1408,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
1,1408,100
5,1408,10
1,1408,100
5,1408,10
1,1408,100
3,1408,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1984,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
1,1984,100
5,1984,10
1,1984,100
5,1984,10
1,1984,100
3,1984,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1024,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
1,1024,100
5,1024,10
1,1024,100
5,1024,10
1,1024,100
3,1024,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,832,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
1,832,100
5,832,10
1,832,100
5,832,10
1,832,100
3,832,0
0,1216,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,192,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1216,100
5,1216,10
1,1216,100
5,1216,10
1,1216,100
3,1216,0
1,192,100
5,192,10
1,192,100
5,192,10
1,192,100
3,192,0
0,640,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,640,100
5,640,10
1,640,100
5,640,10
1,640,100
3,640,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
0,2048,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,192,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,2048,100
5,2048,10
1,2048,100
5,2048,10
1,2048,100
3,2048,0
1,192,100
5,192,10
1,192,100
5,192,10
1,192,100
3,192,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
0,2048,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,768,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,2048,100
5,2048,10
1,2048,100
5,2048,10
1,2048,100
3,2048,0
1,768,100
5,768,10
1,768,100
5,768,10
1,768,100
3,768,0
0,0,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,0,100
5,0,10
1,0,100
5,0,10
1,0,100
3,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
0,768,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1024,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,768,100
5,768,10
1,768,100
5,768,10
1,768,100
3,768,0
1,1024,100
5,1024,10
1,1024,100
5,1024,10
1,1024,100
3,1024,0
0,1472,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1600,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1472,100
5,1472,10
1,1472,100
5,1472,10
1,1472,100
3,1472,0
1,1600,100
5,1600,10
1,1600,100
5,1600,10
1,1600,100
3,1600,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
0,576,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,704,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,576,100
5,576,10
1,576,100
5,576,10
1,576,100
3,576,0
1,704,100
5,704,10
1,704,100
5,704,10
1,704,100
3,704,0
0,1664,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1344,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1664,100
5,1664,10
1,1664,100
5,1664,10
1,1664,100
3,1664,0
1,1344,100
5,1344,10
1,1344,100
5,1344,10
1,1344,100
3,1344,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1984,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
1,1984,100
5,1984,10
1,1984,100
5,1984,10
1,1984,100
3,1984,0
0,0,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1792,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,0,100
5,0,10
1,0,100
5,0,10
1,0,100
3,0,0
1,1792,100
5,1792,10
1,1792,100
5,1792,10
1,1792,100
3,1792,0
0,576,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,384,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,576,100
5,576,10
1,576,100
5,576,10
1,576,100
3,576,0
1,384,100
5,384,10
1,384,100
5,384,10
1,384,100
3,384,0
0,1280,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1280,100
5,1280,10
1,1280,100
5,1280,10
1,1280,100
3,1280,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,320,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
1,320,100
5,320,10
1,320,100
5,320,10
1,320,100
3,320,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1408,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
1,1408,100
5,1408,10
1,1408,100
5,1408,10
1,1408,100
3,1408,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1216,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
1,1216,100
5,1216,10
1,1216,100
5,1216,10
1,1216,100
3,1216,0
0,1920,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1920,100
5,1920,10
1,1920,100
5,1920,10
1,1920,100
3,1920,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
0,576,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1280,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,576,100
5,576,10
1,576,100
5,576,10
1,576,100
3,576,0
1,1280,100
5,1280,10
1,1280,100
5,1280,10
1,1280,100
3,1280,0
0,640,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,640,100
5,640,10
1,640,100
5,640,10
1,640,100
3,640,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
0,1088,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,576,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1088,100
5,1088,10
1,1088,100
5,1088,10
1,1088,100
3,1088,0
1,576,100
5,576,10
1,576,100
5,576,10
1,576,100
3,576,0
0,384,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,384,100
5,384,10
1,384,100
5,384,10
1,384,100
3,384,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
0,448,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,0,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,448,100
5,448,10
1,448,100
5,448,10
1,448,100
3,448,0
1,0,100
5,0,10
1,0,100
5,0,10
1,0,100
3,0,0
0,1152,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,320,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1152,100
5,1152,10
1,1152,100
5,1152,10
1,1152,100
3,1152,0
1,320,100
5,320,10
1,320,100
5,320,10
1,320,100
3,320,0
0,1024,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,128,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1024,100
5,1024,10
1,1024,100
5,1024,10
1,1024,100
3,1024,0
1,128,100
5,128,10
1,128,100
5,128,10
1,128,100
3,128,0
0,1856,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,192,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1856,100
5,1856,10
1,1856,100
5,1856,10
1,1856,100
3,1856,0
1,192,100
5,192,10
1,192,100
5,192,10
1,192,100
3,192,0
0,960,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,512,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,960,100
5,960,10
1,960,100
5,960,10
1,960,100
3,960,0
1,512,100
5,512,10
1,512,100
5,512,10
1,512,100
3,512,0
0,128,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,128,100
5,128,10
1,128,100
5,128,10
1,128,100
3,128,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
0,1600,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1216,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1600,100
5,1600,10
1,1600,100
5,1600,10
1,1600,100
3,1600,0
1,1216,100
5,1216,10
1,1216,100
5,1216,10
1,1216,100
3,1216,0
0,1856,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,256,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1856,100
5,1856,10
1,1856,100
5,1856,10
1,1856,100
3,1856,0
1,256,100
5,256,10
1,256,100
5,256,10
1,256,100
3,256,0
0,1728,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1792,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1728,100
5,1728,10
1,1728,100
5,1728,10
1,1728,100
3,1728,0
1,1792,100
5,1792,10
1,1792,100
5,1792,10
1,1792,100
3,1792,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1024,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
1,1024,100
5,1024,10
1,1024,100
5,1024,10
1,1024,100
3,1024,0
0,64,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,512,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,64,100
5,64,10
1,64,100
5,64,10
1,64,100
3,64,0
1,512,100
5,512,10
1,512,100
5,512,10
1,512,100
3,512,0
0,704,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,704,100
5,704,10
1,704,100
5,704,10
1,704,100
3,704,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
0,1152,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1856,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1152,100
5,1152,10
1,1152,100
5,1152,10
1,1152,100
3,1152,0
1,1856,100
5,1856,10
1,1856,100
5,1856,10
1,1856,100
3,1856,0
0,1536,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,704,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1536,100
5,1536,10
1,1536,100
5,1536,10
1,1536,100
3,1536,0
1,704,100
5,704,10
1,704,100
5,704,10
1,704,100
3,704,0
0,704,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,832,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,704,100
5,704,10
1,704,100
5,704,10
1,704,100
3,704,0
1,832,100
5,832,10
1,832,100
5,832,10
1,832,100
3,832,0
0,640,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,128,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,640,100
5,640,10
1,640,100
5,640,10
1,640,100
3,640,0
1,128,100
5,128,10
1,128,100
5,128,10
1,128,100
3,128,0
0,2048,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1472,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,2048,100
5,2048,10
1,2048,100
5,2048,10
1,2048,100
3,2048,0
1,1472,100
5,1472,10
1,1472,100
5,1472,10
1,1472,100
3,1472,0
0,1920,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,768,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1920,100
5,1920,10
1,1920,100
5,1920,10
1,1920,100
3,1920,0
1,768,100
5,768,10
1,768,100
5,768,10
1,768,100
3,768,0
0,576,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,128,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,576,100
5,576,10
1,576,100
5,576,10
1,576,100
3,576,0
1,128,100
5,128,10
1,128,100
5,128,10
1,128,100
3,128,0
0,1664,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,1280,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,1664,100
5,1664,10
1,1664,100
5,1664,10
1,1664,100
3,1664,0
1,1280,100
5,1280,10
1,1280,100
5,1280,10
1,1280,100
3,1280,0
0,128,10
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
0,0,10
4,0,0
